page,price,location,alapterulet,szobak,erkely
12,385 000 Ft/hó,"Budapest XI. kerület, Barázda utca",62 m2,2,5.87 m2
12,310 000 Ft/hó,"Budapest XIII. kerület, Lőportár utca",36 m2,2,4 m2
12,700 000 Ft/hó,"Budapest XI. kerület, Mohai út",82 m2,3 + 1 fél,20 m2
12,230 000 Ft/hó,"Budapest III. kerület, Bálint György utca",57 m2,1 + 2 fél,1 m2
12,250 000 Ft/hó,"Budapest VII. kerület, Cserhát utca",43 m2,1 + 1 fél,
12,230 000 Ft/hó,"Budapest XVI. kerület, Hunyadvár utca",44 m2,1 + 1 fél,
12,240 000 Ft/hó,"Budapest VII. kerület, Izabella utca",40 m2,2,8 m2
12,385 000 Ft/hó,"Budapest VIII. kerület, Vajda Péter utca",94 m2,3,
12,270 000 Ft/hó,"Budapest VIII. kerület, Győrffy István utca",70 m2,2 + 1 fél,8 m2
12,1 160 000 Ft/hó,"Budapest VI. kerület, Hajós utca",176 m2,5,1 m2
12,210 000 Ft/hó,"Budapest XIV. kerület, Egyenes utca",40 m2,1 + 1 fél,
12,245 000 Ft/hó,"Budapest XI. kerület, Előpatak utca",43 m2,1 + 1 fél,12 m2
12,330 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca",51 m2,2,15 m2
12,220 000 Ft/hó,"Budapest VI. kerület, Bajnok utca",68 m2,2 + 1 fél,2 m2
12,435 000 Ft/hó,"Budapest I. kerület, Batthyány utca",100 m2,3,
13,220 000 Ft/hó,"Budapest XIII. kerület, Kresz Géza utca",37 m2,2,
13,320 000 Ft/hó,"Budapest XIII. kerület, Csata utca",54 m2,2,9 m2
13,295 000 Ft/hó,"Budapest III. kerület, Lajos utca 93-99.",44 m2,2,7 m2
13,210 000 Ft/hó,"Budapest IX. kerület, Vágóhíd utca",50 m2,1 + 1 fél,4 m2
13,300 000 Ft/hó,"Budapest VI. kerület, Király utca",60 m2,2,8 m2
13,735 000 Ft/hó,"Budapest II. kerület, Selyemakác utca",110 m2,3 + 1 fél,10 m2
13,250 000 Ft/hó,"Budapest XI. kerület, Bartók Béla út 10-12.",61 m2,2,
13,230 000 Ft/hó,"Budapest VIII. kerület, Fiumei út",28 m2,1 + 1 fél,4 m2
13,460 000 Ft/hó,"Budapest VI. kerület, Rózsa utca 55.",66 m2,3,8 m2
13,320 000 Ft/hó,"Budapest XII. kerület, Alkotás utca",76 m2,3,3 m2
13,195 000 Ft/hó,"Budapest VI. kerület, Nagymező utca",41 m2,2,
13,220 000 Ft/hó,"Budapest XIV. kerület, Öv utca 133.",37 m2,2,5 m2
13,200 000 Ft/hó,"Budapest XIV. kerület, Csertő utca",46 m2,1 + 1 fél,
13,399 000 Ft/hó,"Budapest XIV. kerület, Ilka utca",85 m2,3,
13,230 000 Ft/hó,"Budapest I. kerület, Széna tér",40 m2,1,
13,199 000 Ft/hó,"Budapest XI. kerület, Budafoki út",37 m2,1,3 m2
13,220 000 Ft/hó,"Budapest XIV. kerület, Bolgárkerék utca",54 m2,2,2 m2
13,250 000 Ft/hó,"Budapest IX. kerület, Bokréta utca",45 m2,2,5 m2
13,260 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",35 m2,1,7 m2
13,260 000 Ft/hó,"Budapest VIII. kerület, Bródy Sándor utca",70 m2,4,
14,210 000 Ft/hó,"Budapest II. kerület, Árpád fejedelem útja",39 m2,1,
14,200 000 Ft/hó,"Budapest I. kerület, Avar utca",39 m2,1 + 1 fél,
14,180 837 Ft/hó,"Budapest IX. kerület, Lónyay utca",26 m2,1,
14,550 000 Ft/hó,"Budapest XIV. kerület, Szugló utca",103 m2,4,20 m2
14,385 000 Ft/hó,"Budapest XIV. kerület, Rákos tér",91 m2,3,
14,240 000 Ft/hó,"Budapest XIV. kerület, Bolgárkertész utca",53 m2,2,
14,350 000 Ft/hó,"Budapest XIV. kerület, Gvadányi utca 13.",75 m2,2 + 1 fél,6 m2
14,580 000 Ft/hó,"Budapest III. kerület, Almási Balogh Loránd utca",80 m2,3,12 m2
14,450 000 Ft/hó,"Budapest XIV. kerület, Kiszugló",65 m2,3,21.45 m2
14,360 000 Ft/hó,"Budapest XIV. kerület, Kiszugló",54 m2,2,8.63 m2
14,560 000 Ft/hó,"Budapest XII. kerület, Dolgos utca",109 m2,4,12 m2
14,280 000 Ft/hó,"Budapest VI. kerület, Vasvári Pál utca 7.",65 m2,3,1 m2
14,250 094 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros - Rehabilitációs terület",35 m2,1,
14,215 000 Ft/hó,"Budapest XIII. kerület, Újlipótváros",33 m2,1,
14,384 760 Ft/hó,"Budapest XIII. kerület, Cserhalom utca 6.",63 m2,3,
14,350 000 Ft/hó,"Budapest VII. kerület, Csengery utca",50 m2,2,
14,219 000 Ft/hó,"Budapest VII. kerület, Szövetség utca",36 m2,1,
14,390 000 Ft/hó,"Budapest II. kerület, Vérhalom utca",60 m2,2 + 1 fél,10 m2
14,250 000 Ft/hó,"Budapest XIV. kerület, Jerney utca",64 m2,1 + 2 fél,6 m2
14,250 000 Ft/hó,"Budapest XIII. kerület, Hegedűs Gyula utca",38 m2,1 + 1 fél,
15,450 000 Ft/hó,"Budapest I. kerület, Lovas út",56 m2,2,4 m2
15,640 000 Ft/hó,"Budapest II. kerület, Daru utca",200 m2,6 + 1 fél,18 m2
15,240 000 Ft/hó,"Budapest VIII. kerület, Futó utca",50 m2,2,4 m2
15,500 188 Ft/hó,"Budapest XIII. kerület, Ipoly utca",91 m2,4,
15,300 000 Ft/hó,"Budapest VI. kerület, Nagymező utca 49.",71 m2,3,
15,258 000 Ft/hó,"Budapest XI. kerület, Kalotaszeg utca",50 m2,2,8 m2
15,240 000 Ft/hó,"Budapest IX. kerület, Dandár utca",48 m2,2,5 m2
15,220 000 Ft/hó,"Budapest V. kerület, Vitkovics Mihály utca",38 m2,1 + 1 fél,
15,330 000 Ft/hó,"Budapest XIII. kerület, Angyalföld",73 m2,2,26 m2
15,290 000 Ft/hó,"Budapest V. kerület, Aranykéz utca",42 m2,1,
15,350 000 Ft/hó,"Budapest III. kerület, Farkastorki út",75 m2,2,20 m2
15,470 000 Ft/hó,"Budapest XIV. kerület, Álmos vezér útja",108 m2,3,20 m2
15,370 000 Ft/hó,"Budapest II. kerület, Gábor Áron utca",65 m2,3,
15,220 000 Ft/hó,"Budapest IX. kerület, Napfény utca",51 m2,2,4 m2
15,445 000 Ft/hó,"Budapest II. kerület, Széher út",100 m2,4,6 m2
15,1 290 000 Ft/hó,"Budapest XIII. kerület, Katona József utca 28.",119 m2,4,12 m2
15,300 000 Ft/hó,"Budapest II. kerület, Balogh Ádám utca",60 m2,2,6 m2
15,230 000 Ft/hó,"Budapest XIX. kerület, Corvin körút",32 m2,1,4 m2
